,Date,High,Low,Open,Close,Volume,Adj Close
0,2021-01-04,25.479999542236328,23.399999618530273,25.350000381469727,23.729999542236328,23243700,23.729999542236328
1,2021-01-05,24.670000076293945,23.360000610351562,23.40999984741211,24.239999771118164,16639000,24.239999771118164
2,2021-01-06,24.950000762939453,23.690000534057617,24.149999618530273,24.329999923706055,16810600,24.329999923706055
3,2021-01-07,25.43000030517578,24.549999237060547,24.549999237060547,24.65999984741211,16079800,24.65999984741211
4,2021-01-08,25.1200008392334,23.920000076293945,24.969999313354492,24.43000030517578,13493300,24.43000030517578
5,2021-01-11,24.540000915527344,23.610000610351562,23.799999237060547,24.139999389648438,10546800,24.139999389648438
6,2021-01-12,24.540000915527344,23.93000030517578,24.18000030517578,24.520000457763672,9894700,24.520000457763672
7,2021-01-13,24.690000534057617,23.81999969482422,24.25,24.610000610351562,13711300,24.610000610351562
8,2021-01-14,26.59000015258789,24.950000762939453,25.0,26.420000076293945,24922200,26.420000076293945
9,2021-01-15,26.969999313354492,25.299999237060547,26.209999084472656,25.3799991607666,15861600,25.3799991607666
10,2021-01-19,25.799999237060547,24.950000762939453,25.709999084472656,25.299999237060547,10777700,25.299999237060547
11,2021-01-20,25.969999313354492,24.8700008392334,25.65999984741211,25.190000534057617,10370400,25.190000534057617
12,2021-01-21,25.450000762939453,24.600000381469727,25.0,24.989999771118164,10701900,24.989999771118164
13,2021-01-22,24.799999237060547,24.200000762939453,24.5,24.59000015258789,11290100,24.59000015258789
14,2021-01-25,24.190000534057617,23.1200008392334,24.100000381469727,23.969999313354492,17265300,23.969999313354492
15,2021-01-26,24.420000076293945,23.5,24.149999618530273,23.65999984741211,9875100,23.65999984741211
16,2021-01-27,24.68000030517578,22.68000030517578,23.0,23.530000686645508,19694100,23.530000686645508
17,2021-01-28,25.200000762939453,23.950000762939453,24.43000030517578,24.15999984741211,17798900,24.15999984741211
18,2021-01-29,24.350000381469727,22.270000457763672,24.049999237060547,22.649999618530273,26023800,22.649999618530273
19,2021-02-01,22.8700008392334,21.8799991607666,22.850000381469727,22.399999618530273,15020000,22.399999618530273
20,2021-02-02,23.309999465942383,22.360000610351562,22.799999237060547,22.940000534057617,12971900,22.940000534057617
21,2021-02-03,23.709999084472656,22.719999313354492,22.969999313354492,23.610000610351562,18660300,23.610000610351562
22,2021-02-04,24.6200008392334,23.770000457763672,23.860000610351562,24.399999618530273,14813000,24.399999618530273
23,2021-02-05,25.450000762939453,24.360000610351562,24.639999389648438,24.719999313354492,16733600,24.719999313354492
24,2021-02-08,25.25,24.719999313354492,25.0,25.010000228881836,11663200,25.010000228881836
25,2021-02-09,24.979999542236328,23.920000076293945,24.8700008392334,24.079999923706055,15097900,24.079999923706055
26,2021-02-10,24.959999084472656,24.100000381469727,24.309999465942383,24.139999389648438,13755200,24.139999389648438
27,2021-02-11,24.479999542236328,23.520000457763672,24.149999618530273,23.770000457763672,12145700,23.770000457763672
28,2021-02-12,23.729999542236328,23.09000015258789,23.399999618530273,23.540000915527344,13384600,23.540000915527344
29,2021-02-16,25.3700008392334,23.729999542236328,23.959999084472656,25.190000534057617,22739200,25.190000534057617
30,2021-02-17,26.149999618530273,24.479999542236328,25.0,25.469999313354492,21807400,25.469999313354492
31,2021-02-18,25.399999618530273,24.290000915527344,25.110000610351562,25.200000762939453,14967600,25.200000762939453
32,2021-02-19,26.989999771118164,25.510000228881836,25.760000228881836,26.850000381469727,18737400,26.850000381469727
33,2021-02-22,29.790000915527344,26.90999984741211,27.479999542236328,28.559999465942383,34168800,28.559999465942383
34,2021-02-23,28.93000030517578,26.25,28.65999984741211,28.6200008392334,23482000,28.6200008392334
35,2021-02-24,31.579999923706055,29.139999389648438,29.3799991607666,31.270000457763672,38000400,31.270000457763672
36,2021-02-25,32.65999984741211,28.329999923706055,32.52000045776367,28.760000228881836,41465800,28.760000228881836
37,2021-02-26,29.940000534057617,28.31999969482422,29.229999542236328,29.559999465942383,19736800,29.559999465942383
38,2021-03-01,31.360000610351562,29.520000457763672,30.709999084472656,29.850000381469727,22808100,29.850000381469727
39,2021-03-02,31.579999923706055,30.170000076293945,30.6299991607666,31.18000030517578,18319000,31.18000030517578
40,2021-03-03,33.77000045776367,31.770000457763672,32.02000045776367,33.130001068115234,31311900,33.130001068115234
41,2021-03-04,34.4900016784668,30.959999084472656,34.31999969482422,32.900001525878906,37841000,32.900001525878906
42,2021-03-05,30.3700008392334,26.649999618530273,30.270000457763672,28.850000381469727,96362900,28.850000381469727
43,2021-03-08,30.200000762939453,28.860000610351562,29.510000228881836,29.309999465942383,42439600,29.309999465942383
44,2021-03-09,30.0,28.309999465942383,29.559999465942383,29.729999542236328,27266400,29.729999542236328
45,2021-03-10,30.700000762939453,29.15999984741211,29.8799991607666,29.540000915527344,22994300,29.540000915527344
46,2021-03-11,30.469999313354492,29.309999465942383,30.030000686645508,30.260000228881836,20107600,30.260000228881836
47,2021-03-12,31.040000915527344,30.06999969482422,30.190000534057617,30.729999542236328,22721000,30.729999542236328
48,2021-03-15,32.400001525878906,31.010000228881836,31.229999542236328,31.559999465942383,26593300,31.559999465942383
49,2021-03-16,31.6200008392334,29.770000457763672,31.6200008392334,30.100000381469727,20432000,30.100000381469727
50,2021-03-17,30.639999389648438,29.399999618530273,29.649999618530273,30.5,16445600,30.5
51,2021-03-18,30.59000015258789,28.899999618530273,30.299999237060547,28.950000762939453,17505100,28.950000762939453
52,2021-03-19,29.760000228881836,27.850000381469727,29.1299991607666,29.700000762939453,18847400,29.700000762939453
53,2021-03-22,29.59000015258789,28.209999084472656,29.309999465942383,28.649999618530273,15198500,28.649999618530273
54,2021-03-23,28.43000030517578,26.459999084472656,28.0,26.600000381469727,23673600,26.600000381469727
55,2021-03-24,28.440000534057617,24.020000457763672,27.290000915527344,25.309999465942383,41737900,25.309999465942383
56,2021-03-25,26.280000686645508,24.239999771118164,24.780000686645508,26.040000915527344,26491600,26.040000915527344
57,2021-03-26,26.8799991607666,25.729999542236328,26.299999237060547,26.81999969482422,19349700,26.81999969482422
58,2021-03-29,26.850000381469727,25.790000915527344,26.790000915527344,26.209999084472656,12410500,26.209999084472656
59,2021-03-30,27.420000076293945,26.06999969482422,26.170000076293945,27.200000762939453,10326200,27.200000762939453
60,2021-03-31,27.899999618530273,26.920000076293945,27.239999771118164,27.59000015258789,11892700,27.59000015258789
